spec,site,length,width,thickness,resharp
hs01,41HS261,125.72,12.44,6.44,
hs02,41HS261,129.1,12.04,5.93,
hs03,41HS261,89.21,11.75,5.79,
hs04,41HS261,110.52,10.8,5.18,
hs05,41HS261,119.96,14.3,5.99,
hs06,41HS261,96.31,10.16,3.84,0.08
hs07,41HS261,105.7,12.48,5.1,
hs09,41HS261,125.47,14.25,5.57,
hs10,41HS261,106.47,10.6,4.28,
hs11,41HS261,113.25,14.43,7.07,
hs12,41HS261,99.93,12.32,6.06,
hs13,41HS261,120.4,12.27,5.08,
hs14,41HS261,102.03,14.3,4.81,
hs15,41HS261,105.75,13.73,5.73,
hs16,41HS261,112.59,13.82,5.48,
hs17,41HS261,138.4,14.63,7.2,
hs18,41HS261,122.14,13.54,5.32,
hs19,41HS261,111.4,13.66,4.33,
hs21,41HS261,119.37,13.41,4.99,
hs22,41HS261,104.23,13.65,5.21,
hs23,41HS261,125.15,13.7,5.3,
hs24,41HS261,118.61,12.85,5.12,
hs25,41HS261,125.57,13.08,5.61,
hs26,41HS261,114.27,13.3,4.65,
hs27,41HS261,126.46,13.9,5.75,
56,41AN13,128.5,13,4.7,0.18
63,41AN13,127,14.1,4.9,0.13
66,41AN13,127,15,3.7,0.11
70,41AN13,136.9,13.6,3.4,0.07
72,41AN13,127.8,13.3,4.1,0.07
74,41AN13,124,14,4.4,0.09
75,41AN13,118,13.2,4.6,0.23
76,41AN13,111.2,14.4,3.6,0.08
77,41AN13,112.9,13,4.2,0.1
78,41AN13,103,12.5,4.3,0.18
79,41AN13,99.8,10.9,3.7,0.14
80,41AN13,108.8,11,3.6,0.26
81,41AN13,94,11.8,4.6,0.12
